Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FBS","Food Balances (2010-)","288","Ghana","5611","Import quantity","2511","Wheat and products","2022","2022","1000 t","881","I","Imputed value",""
"FBS","Food Balances (2010-)","288","Ghana","5301","Domestic supply quantity","2511","Wheat and products","2022","2022","1000 t","765","I","Imputed value",""
"FBS","Food Balances (2010-)","288","Ghana","5511","Production","2807","Rice and products","2022","2022","1000 t","1283","I","Imputed value",""
"FBS","Food Balances (2010-)","288","Ghana","5611","Import quantity","2807","Rice and products","2022","2022","1000 t","812","I","Imputed value",""
"FBS","Food Balances (2010-)","288","Ghana","5301","Domestic supply quantity","2807","Rice and products","2022","2022","1000 t","2557","I","Imputed value",""
"FBS","Food Balances (2010-)","288","Ghana","5611","Import quantity","2513","Barley and products","2022","2022","1000 t","25","I","Imputed value",""
"FBS","Food Balances (2010-)","288","Ghana","5301","Domestic supply quantity","2513","Barley and products","2022","2022","1000 t","23","I","Imputed value",""
"FBS","Food Balances (2010-)","288","Ghana","5511","Production","2514","Maize and products","2022","2022","1000 t","3256","I","Imputed value",""
"FBS","Food Balances (2010-)","288","Ghana","5611","Import quantity","2514","Maize and products","2022","2022","1000 t","83","I","Imputed value",""
"FBS","Food Balances (2010-)","288","Ghana","5301","Domestic supply quantity","2514","Maize and products","2022","2022","1000 t","3294","I","Imputed value",""
"FBS","Food Balances (2010-)","288","Ghana","5301","Domestic supply quantity","2515","Rye and products","2022","2022","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","288","Ghana","5511","Production","2516","Oats","2022","2022","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","288","Ghana","5611","Import quantity","2516","Oats","2022","2022","1000 t","12","I","Imputed value",""
"FBS","Food Balances (2010-)","288","Ghana","5301","Domestic supply quantity","2516","Oats","2022","2022","1000 t","12","I","Imputed value",""
"FBS","Food Balances (2010-)","288","Ghana","5511","Production","2517","Millet and products","2022","2022","1000 t","196","I","Imputed value",""
"FBS","Food Balances (2010-)","288","Ghana","5611","Import quantity","2517","Millet and products","2022","2022","1000 t","2","I","Imputed value",""
"FBS","Food Balances (2010-)","288","Ghana","5301","Domestic supply quantity","2517","Millet and products","2022","2022","1000 t","198","I","Imputed value",""
"FBS","Food Balances (2010-)","288","Ghana","5511","Production","2518","Sorghum and products","2022","2022","1000 t","401","I","Imputed value",""
"FBS","Food Balances (2010-)","288","Ghana","5611","Import quantity","2518","Sorghum and products","2022","2022","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","288","Ghana","5301","Domestic supply quantity","2518","Sorghum and products","2022","2022","1000 t","410","I","Imputed value",""
"FBS","Food Balances (2010-)","288","Ghana","5511","Production","2520","Cereals, other","2022","2022","1000 t","10","I","Imputed value",""
"FBS","Food Balances (2010-)","288","Ghana","5611","Import quantity","2520","Cereals, other","2022","2022","1000 t","302","I","Imputed value",""
"FBS","Food Balances (2010-)","288","Ghana","5301","Domestic supply quantity","2520","Cereals, other","2022","2022","1000 t","310","I","Imputed value",""
"FBS","Food Balances (2010-)","288","Ghana","5511","Production","2532","Cassava and products","2022","2022","1000 t","25592","I","Imputed value",""
"FBS","Food Balances (2010-)","288","Ghana","5611","Import quantity","2532","Cassava and products","2022","2022","1000 t","3","I","Imputed value",""
"FBS","Food Balances (2010-)","288","Ghana","5301","Domestic supply quantity","2532","Cassava and products","2022","2022","1000 t","25581","I","Imputed value",""
"FBS","Food Balances (2010-)","288","Ghana","5611","Import quantity","2531","Potatoes and products","2022","2022","1000 t","11","I","Imputed value",""
"FBS","Food Balances (2010-)","288","Ghana","5301","Domestic supply quantity","2531","Potatoes and products","2022","2022","1000 t","6","I","Imputed value",""
"FBS","Food Balances (2010-)","288","Ghana","5511","Production","2533","Sweet potatoes","2022","2022","1000 t","143","I","Imputed value",""
"FBS","Food Balances (2010-)","288","Ghana","5611","Import quantity","2533","Sweet potatoes","2022","2022","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","288","Ghana","5301","Domestic supply quantity","2533","Sweet potatoes","2022","2022","1000 t","142","I","Imputed value",""
"FBS","Food Balances (2010-)","288","Ghana","5511","Production","2535","Yams","2022","2022","1000 t","10718","I","Imputed value",""
"FBS","Food Balances (2010-)","288","Ghana","5611","Import quantity","2535","Yams","2022","2022","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","288","Ghana","5301","Domestic supply quantity","2535","Yams","2022","2022","1000 t","9928","I","Imputed value",""
"FBS","Food Balances (2010-)","288","Ghana","5511","Production","2536","Sugar cane","2022","2022","1000 t","156","I","Imputed value",""
"FBS","Food Balances (2010-)","288","Ghana","5611","Import quantity","2536","Sugar cane","2022","2022","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","288","Ghana","5301","Domestic supply quantity","2536","Sugar cane","2022","2022","1000 t","156","I","Imputed value",""
"FBS","Food Balances (2010-)","288","Ghana","5611","Import quantity","2745","Honey","2022","2022","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","288","Ghana","5301","Domestic supply quantity","2745","Honey","2022","2022","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","288","Ghana","5511","Production","2546","Beans","2022","2022","1000 t","195","I","Imputed value",""
"FBS","Food Balances (2010-)","288","Ghana","5611","Import quantity","2546","Beans","2022","2022","1000 t","13","I","Imputed value",""
"FBS","Food Balances (2010-)","288","Ghana","5301","Domestic supply quantity","2546","Beans","2022","2022","1000 t","202","I","Imputed value",""
"FBS","Food Balances (2010-)","288","Ghana","5611","Import quantity","2547","Peas","2022","2022","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","288","Ghana","5301","Domestic supply quantity","2547","Peas","2022","2022","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","288","Ghana","5511","Production","2551","Nuts and products","2022","2022","1000 t","134","I","Imputed value",""
"FBS","Food Balances (2010-)","288","Ghana","5611","Import quantity","2551","Nuts and products","2022","2022","1000 t","10","I","Imputed value",""
"FBS","Food Balances (2010-)","288","Ghana","5301","Domestic supply quantity","2551","Nuts and products","2022","2022","1000 t","-82","I","Imputed value",""
"FBS","Food Balances (2010-)","288","Ghana","5511","Production","2555","Soyabeans","2022","2022","1000 t","200","I","Imputed value",""
"FBS","Food Balances (2010-)","288","Ghana","5611","Import quantity","2555","Soyabeans","2022","2022","1000 t","9","I","Imputed value",""
"FBS","Food Balances (2010-)","288","Ghana","5301","Domestic supply quantity","2555","Soyabeans","2022","2022","1000 t","241","I","Imputed value",""
"FBS","Food Balances (2010-)","288","Ghana","5511","Production","2552","Groundnuts","2022","2022","1000 t","611","I","Imputed value",""
"FBS","Food Balances (2010-)","288","Ghana","5611","Import quantity","2552","Groundnuts","2022","2022","1000 t","4","I","Imputed value",""
"FBS","Food Balances (2010-)","288","Ghana","5301","Domestic supply quantity","2552","Groundnuts","2022","2022","1000 t","589","I","Imputed value",""
"FBS","Food Balances (2010-)","288","Ghana","5611","Import quantity","2557","Sunflower seed","2022","2022","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","288","Ghana","5301","Domestic supply quantity","2557","Sunflower seed","2022","2022","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","288","Ghana","5611","Import quantity","2558","Rape and Mustardseed","2022","2022","1000 t","1","I","Imputed value",""
"FBS","Food Balances (2010-)","288","Ghana","5301","Domestic supply quantity","2558","Rape and Mustardseed","2022","2022","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","288","Ghana","5511","Production","2560","Coconuts - Incl Copra","2022","2022","1000 t","504","I","Imputed value",""
